דגם,מחיר,תאריך_יצירה,תאריך_הקפצה,כמות_תמונות,שנה,יד,ת. הילוכים,נפח,סוג מנוע,"ק""מ",טסט עד,צבע,בעלות קודמת,בעלות נוכחית,אזור,עיר
מאזדה 3,"8,000 ₪",05/06/2024,05/06/2024,3,2007,4,אוטומטית,"1,600",בנזין,"189,000",10/2024,אפור,פרטית,פרטית,באר שבע והסביבה,אופקים
מאזדה 6,"16,000 ₪",16/05/2024,04/06/2024,4,2008,3,אוטומטית,"2,000",בנזין,"195,000",10/2024,שחור,פרטית,פרטית,בית שמש והסביבה,בית שמש
מאזדה 3,"43,000 ₪",13/05/2024,21/05/2024,8,2015,4,אוטומטית,"1,500",בנזין,"152,000",,שחור,פרטית,פרטית,עכו - נהריה,נהריה
מאזדה 3,"133,000 ₪",19/05/2024,28/05/2024,1,2022,2,אוטומטית,"2,000",בנזין,"30,000",04/2025,שחור,פרטית,פרטית,נתניה והסביבה,כפר יונה
מאזדה 3,"29,900 ₪",06/04/2024,07/04/2024,5,2012,3,אוטומטית,"2,000",בנזין,209,08/2024,שחור,פרטית,פרטית,קריות,קרית אתא
מאזדה 3,"8,700 ₪",04/04/2024,04/04/2024,8,2007,4,אוטומטית,"1,600",בנזין,"188,000",08/2024,בז' מטאלי,פרטית,פרטית,גדרה יבנה והסביבה,יבנה
מאזדה 3,"74,500 ₪",03/04/2024,03/04/2024,7,2018,3,אוטומטית,"2,000",בנזין,"52,000",03/2025,לבן פנינה,אחר,פרטית,אשדוד - אשקלון,אשקלון
מאזדה 6,"35,000 ₪",01/04/2024,01/04/2024,6,2014,5,אוטומטית,"2,000",בנזין,"194,000",,אפור,השכרה,פרטית,ירושלים והסביבה,ירושלים
מאזדה 3,"12,300 ₪",16/03/2024,17/03/2024,4,2008,5,אוטומטית,"1,600",בנזין,,,שחור,פרטית,פרטית,מודיעין והסביבה,מודיעין מכבים רעות
מאזדה 3,"7,800 ₪",10/03/2024,13/03/2024,3,2007,6,אוטומטית,"1,600",בנזין,"305,000",08/2024,זהב,השכרה,פרטית,חולון - בת ים,חולון
מאזדה 5,"35,000 ₪",02/10/2023,11/03/2024,3,2012,2,אוטומטית,"2,000",בנזין,"250,000",,אפור עכבר,פרטית,פרטית,חולון - בת ים,בת ים
מאזדה 3,"49,000 ₪",10/09/2023,11/03/2024,2,2016,1,אוטומטית,"1,500",בנזין,,,לבן,פרטית,פרטית,חולון - בת ים,בת ים
מאזדה 3,"122,000 ₪",01/03/2024,01/03/2024,10,2020,1,אוטומטית,"2,500",בנזין,"24,000",08/2024,לבן פנינה,פרטית,פרטית,באר שבע והסביבה,באר שבע
